성별,연령대,기간,카테고리,브랜드명,상품명,정상가,할인가,할인율(%),상품URL,이미지URL
남성,35-39세,1주,전체,밀로 아카이브,크롭 무브 가디건 [네이비],108000,86400,20,https://www.musinsa.com/products/4419823,https://image.msscdn.net/thumbnails/images/goods_img/20240909/4419823/4419823_17259531168323_500.jpg?w=780
남성,35-39세,1주,전체,에스피오나지,Expl. Fleece Pullover Anorak Olive,128000,102400,20,https://www.musinsa.com/products/4517302,https://image.msscdn.net/thumbnails/images/goods_img/20241015/4517302/4517302_17591204788694_500.jpg?w=780
남성,35-39세,1주,전체,고스트리퍼블릭,커브드 사이드 핀턱 벌룬 스웨트팬츠 GLP-650_블랙,57000,29990,47,https://www.musinsa.com/products/5308542,https://image.msscdn.net/thumbnails/images/goods_img/20250811/5308542/5308542_17560976834295_500.jpg?w=780
남성,35-39세,1주,전체,다이브인,[DIVEIN X 패플서] RIBBED LONG SLEEVE (DARK GRAY),69000,62100,10,https://www.musinsa.com/products/5651267,https://image.msscdn.net/thumbnails/images/goods_img/20251028/5651267/5651267_17622214344644_500.jpg?w=780
남성,35-39세,1주,전체,무신사 스탠다드,[힛탠다드] 맥스 플러스 맨즈 크루 넥 티셔츠_이너 웨어 [블랙],23900,22790,5,https://www.musinsa.com/products/1629116,https://image.msscdn.net/thumbnails/images/goods_img/20200928/1629116/1629116_17615343483186_500.jpg?w=780
남성,35-39세,1주,전체,에스피오나지,Dyer Hooded Down Parka Black,328000,246000,25,https://www.musinsa.com/products/2183757,https://image.msscdn.net/thumbnails/images/goods_img/20211018/2183757/2183757_2_500.jpg?w=780
남성,35-39세,1주,전체,아디다스,와플 반팔 폴로 셔츠 - 네이비 / KB5461,59000,59000,0,https://www.musinsa.com/products/5169462,https://image.msscdn.net/thumbnails/images/goods_img/20250605/5169462/5169462_17495316677676_500.jpg?w=780
남성,35-39세,1주,전체,에스피오나지,Dyer Hooded Down Parka Taupe,328000,246000,25,https://www.musinsa.com/products/5589479,https://image.msscdn.net/thumbnails/images/goods_img/20251014/5589479/5589479_17609399432809_500.jpg?w=780
남성,35-39세,1주,전체,알리스,컨투어 시어링 스웨이드 크롭 무스탕 자켓 [블랙],198000,154440,22,https://www.musinsa.com/products/5546451,https://image.msscdn.net/thumbnails/images/goods_img/20250929/5546451/5546451_17593180241940_500.jpg?w=780
남성,35-39세,1주,전체,이에스엔,퍼펙트 터틀넥 니트 티셔츠 블랙,39000,23400,40,https://www.musinsa.com/products/843276,https://image.msscdn.net/thumbnails/images/goods_img/20180830/843276/843276_1_500.jpg?w=780
남성,35-39세,1주,전체,유니폼브릿지,karakoram field goose down parka black,439000,351200,20,https://www.musinsa.com/products/5581451,https://image.msscdn.net/thumbnails/images/goods_img/20251013/5581451/5581451_17604235662241_500.jpg?w=780
남성,35-39세,1주,전체,지프,[360g] M-Logo 반집업 맨투맨 (JR5TSU838BK),74000,51900,30,https://www.musinsa.com/products/1755605,https://image.msscdn.net/thumbnails/images/goods_img/20210120/1755605/1755605_17551317401993_500.jpg?w=780
남성,35-39세,1주,전체,에이치덱스,액티브 팬츠,59000,50100,15,https://www.musinsa.com/products/2441622,https://image.msscdn.net/thumbnails/images/goods_img/20220324/2441622/2441622_17453734236409_500.jpg?w=780
남성,35-39세,1주,전체,노스페이스,NC1DR70A 남성 액트 프리 EX 하이브리드 다운 코트 BLACK,339000,305100,10,https://www.musinsa.com/products/5627100,https://image.msscdn.net/thumbnails/images/goods_img/20251022/5627100/5627100_17611086580932_500.jpg?w=780
남성,35-39세,1주,전체,디키즈,1939 덕 캔버스 카펜터 팬츠 Black,79000,74900,5,https://www.musinsa.com/products/4288256,https://image.msscdn.net/thumbnails/images/goods_img/20240801/4288256/4288256_17310546099377_500.jpg?w=780
